Kaavi;45.9;2778;-1.0;10.9;52.5;36.6;0.1;1.5;-45;-42;761;1478;88.6;21.2;63.8;14.2;880;61.1;55.6;16.4;43.6;219.0;790;11.1;29.5;58.1;87.5;746.7;2578.9;5905.6;1596.0;5696.8
Kajaani;88.2;36493;-0.2;15.4;60.2;24.4;0.1;3.1;-117;-137;9606;18683;53.1;33.4;77.6;30.5;14693;69.2;85.9;11.6;28.4;148.9;15351;2.1;15.0;82.1;103.8;219.5;3670.1;18154.8;2931.9;4337.8
Kalajoki;76.7;12412;0.1;18.0;55.4;26.6;0.4;2.5;-5;6;3388;5418;92.0;17.3;70.9;22.3;4843;74.0;71.2;10.4;29.4;156.0;4509;13.6;30.6;54.2;91.1;741.9;3205.3;5349.3;2259.5;3580.7
Kangasala;86.0;32622;1.3;18.6;60.4;21.0;0.2;1.7;58;250;9189;14530;66.3;20.8;77.2;35.5;13953;76.0;36.5;10.3;23.7;130.9;9084;3.4;26.7;67.6;64.2;977.9;2263.2;4656.5;1956.7;2934.1
Kangasniemi;50.6;5230;-1.5;11.4;50.8;37.8;0.2;1.0;-79;32;1410;2817;84.9;21.2;67.6;22.0;1821;69.1;70.7;11.2;41.8;191.7;1569;17.3;27.1;53.2;86.1;752.6;3375.2;5239.3;1623.7;4698.4
Kankaanpää;69.6;12662;-0.8;13.9;56.7;29.3;0.1;3.5;-88;-99;3511;6446;78.1;29.0;69.2;21.9;4773;67.7;79.8;13.6;33.3;167.3;5339;6.9;22.9;68.6;109.1;619.2;4744.9;6797.8;1886.8;3781.0
Kannonkoski;36.5;1311;-0.9;11.1;51.3;37.6;0.1;1.4;-12;-4;356;667;93.1;19.6;62.8;16.8;414;64.4;63.0;17.2;43.0;219.6;401;16.2;19.5;63.8;90.9;433.9;7511.7;11894.9;2117.2;5038.5
Kannus;73.8;5390;-0.7;18.0;56.9;25.1;0.4;2.0;-11;-34;1486;2453;88.5;21.5;69.9;20.8;2172;73.3;64.0;10.7;28.1;149.8;2088;14.2;24.9;59.5;95.8;459.3;2764.5;5164.9;2028.4;3858.1
Karijoki;39.6;1192;-1.2;10.7;51.4;37.9;1.6;1.2;-16;-24;324;642;98.8;16.0;63.1;13.4;473;75.0;51.8;10.1;40.2;155.2;419;27.9;25.3;45.6;81.8;1507.0;1987.6;3447.4;1598.2;4831.8
Karkkila;85.5;8717;0.2;14.5;58.0;27.5;0.7;6.0;-54;0;2374;4302;68.7;26.1;64.5;20.9;3438;70.9;52.1;12.9;30.3;152.9;2753;2.0;39.3;56.7;77.6;526.6;6670.5;7627.6;2095.0;3890.4
Karstula;50.7;3774;-2.2;11.7;51.7;36.6;0.0;1.0;-49;-42;1110;1891;93.3;18.5;66.3;20.0;1279;65.6;74.7;17.1;40.1;201.6;1356;15.9;28.6;53.8;101.5;1085.5;3369.6;7203.2;1783.3;4588.6
Karvia;33.1;2290;-1.4;12.3;52.6;35.1;0.0;4.0;-31;-4;644;1153;95.6;20.8;63.7;13.7;849;70.8;69.3;12.7;39.3;173.5;757;24.4;31.2;40.8;87.9;685.6;1046.9;3467.7;1755.0;4273.5
Kaskinen;99.7;1289;0.9;12.2;46.5;41.3;27.4;10.1;-6;7;368;678;68.6;20.6;65.7;25.8;448;72.7;51.1;9.1;42.7;185.3;477;1.9;39.4;56.8;106.5;43.8;4654.1;7194.1;1921.0;5042.3
Kauhajoki;68.0;12890;-0.9;15.1;56.2;28.8;0.4;2.2;-81;-124;3590;6398;92.5;23.1;68.9;21.2;4907;68.8;76.7;13.3;32.6;165.1;5269;8.6;24.8;65.2;102.7;415.2;5029.6;8538.6;1933.0;4469.7
Kauhava;66.6;15312;-1.3;14.8;54.8;30.3;0.7;2.7;-128;-109;4329;7333;91.5;19.5;68.6;23.5;5852;72.0;76.5;10.9;33.8;165.1;6253;11.8;30.5;56.2;101.9;669.3;4100.9;9254.6;1882.1;4329.8
Kauniainen;100.0;10396;2.1;17.9;60.0;22.1;30.8;6.4;-32;367;2844;4369;46.0;32.0;82.1;59.3;4299;74.4;20.1;8.8;22.9;136.8;2454;0.5;2.5;93.1;58.2;1018.8;393.0;2565.8;3088.5;3266.7
Kaustinen;66.6;4196;-0.8;18.1;57.2;24.7;1.9;1.7;2;-37;1217;1856;94.5;21.7;69.5;23.3;1810;78.0;58.1;7.5;26.6;133.6;1601;14.8;21.0;62.3;85.9;784.8;7314.1;12264.4;2009.7;3764.4
Keitele;48.3;2095;-2.8;10.4;49.4;40.3;0.1;1.0;-26;-24;608;1111;92.6;20.7;67.1;18.3;738;69.1;75.8;10.8;43.7;192.0;878;9.3;36.3;53.0;113.6;544.8;3537.4;9004.6;1610.7;4899.3
Kemi;99.5;19982;-2.2;13.9;56.4;29.7;0.2;3.2;-125;-271;5229;11176;53.1;35.5;72.4;24.8;7109;62.7;74.9;18.0;34.4;187.5;8853;0.4;25.9;72.9;120.9;343.0;5244.6;7868.1;1951.5;4703.0
Kemijärvi;70.0;7105;-1.2;9.3;49.7;41.0;0.1;1.4;-97;-3;1992;3949;68.7;26.2;71.4;22.5;2231;62.3;80.2;19.7;46.1;222.3;2258;6.2;18.8;73.9;94.5;695.9;5573.6;10448.5;1974.0;5576.8
Keminmaa;89.6;7904;-1.0;16.6;56.8;26.6;0.2;0.7;-18;-78;2338;3700;86.5;19.3;77.2;29.9;3167;73.1;38.0;11.3;30.2;152.1;2819;2.1;40.4;55.9;86.5;557.7;1854.1;3003.5;1946.1;3938.5
Kemiönsaari;51.0;6614;0.1;12.1;52.6;35.3;67.1;3.8;-60;18;1844;3373;81.7;20.5;66.9;26.1;2445;71.5;73.3;10.9;38.6;170.3;2148;7.9;19.5;69.1;86.7;1018.2;2421.4;3887.7;2129.2;4010.6
Kempele;96.3;19116;1.7;23.6;60.5;15.9;0.2;0.7;151;279;5225;7634;81.6;20.2;79.3;36.8;8128;76.6;30.0;9.8;18.8;131.3;6627;0.6;33.8;64.1;82.6;380.4;3448.7;4413.2;2378.3;3022.4
Kerava;99.8;37232;0.3;16.2;63.4;20.4;1.2;9.7;61;186;9869;18659;35.1;38.6;71.4;31.4;16323;71.6;31.1;13.2;22.5;127.3;12098;0.3;24.5;73.7;70.8;454.3;1886.7;5548.7;1969.5;3195.2
Keuruu;70.7;9443;-0.5;13.0;51.9;35.1;0.2;1.7;-81;-53;2593;4900;67.2;25.1;70.7;23.7;3309;69.0;73.8;13.1;38.7;186.7;3275;5.1;29.9;63.2;98.0;762.4;6088.8;11664.7;2134.4;4172.3
Kihniö;34.8;1808;-0.8;12.0;51.9;36.1;0.0;1.2;-17;-29;530;878;96.7;17.0;63.9;16.1;683;71.8;66.7;11.2;39.3;166.8;628;10.4;39.3;47.3;89.5;671.8;4394.1;5796.9;1397.9;4737.7
Kinnula;52.9;1581;-1.0;18.0;48.1;34.0;0.1;0.6;-1;-20;422;701;96.6;17.0;60.6;17.1;493;64.8;71.3;16.3;38.9;223.9;463;22.2;12.3;62.9;90.4;323.7;3757.0;6947.4;1993.7;5031.9
Kirkkonummi;90.1;40433;0.9;18.5;64.1;17.4;15.7;7.1;91;257;11173;17462;66.7;27.6;73.9;39.6;18373;75.7;32.0;10.3;19.1;118.2;10995;0.9;19.4;77.4;58.6;638.9;5278.6;7173.6;2355.9;2920.2
Kitee;53.9;9877;-0.6;11.0;51.1;37.9;0.0;3.6;-138;-96;2781;5211;76.7;23.2;68.7;20.2;3105;62.0;79.2;19.2;42.6;219.9;3372;11.1;25.1;62.0;101.0;687.4;432.2;2109.7;1813.5;4619.1
Kittilä;58.6;6523;1.4;14.8;63.3;21.8;0.3;3.2;-21;-14;1594;2849;84.6;31.1;75.3;23.5;2922;73.8;86.5;14.3;24.9;120.3;3578;3.6;23.8;71.3;114.2;1311.1;1978.6;8125.1;2727.2;4512.9
